Date,Latitude,Longitude,Temperature
06Jan2007,72.7,37.18,274.09053134918213
06Jan2007,72.7,37.18,274.1014108657837
06Jan2007,72.7,37.18,274.1230659484863
06Jan2007,72.7,37.18,274.16820096969604
06Jan2007,72.7,37.18,274.21759843826294
06Jan2007,72.7,37.18,274.3280897140503
06Jan2007,72.7,37.18,274.42470836639404
06Jan2007,72.7,37.18,274.5185375213623
06Jan2007,72.7,37.18,274.5674343109131
06Jan2007,72.7,37.18,274.0589790344238
06Jan2007,72.7,37.18,274.0226402282715
06Jan2007,72.7,37.18,273.97204971313477
06Jan2007,72.7,37.18,273.9061470031738
06Jan2007,72.7,37.18,273.8056182861328
06Jan2007,72.7,37.18,273.69127082824707
06Jan2007,72.7,37.18,273.5554313659668
06Jan2007,72.7,37.18,273.431697845459
06Jan2007,72.7,37.18,273.31485080718994
06Jan2007,72.7,37.18,273.1955850124359
06Jan2007,72.7,37.18,273.12426710128784
06Jan2007,72.7,37.18,273.08251953125
06Jan2007,72.7,37.18,272.96813011169434
06Jan2007,72.7,37.18,272.888710975647
07Jan2007,72.7,37.18,272.85184478759766
07Jan2007,72.7,37.18,272.866756439209
07Jan2007,72.7,37.18,272.9075736999512
07Jan2007,72.7,37.18,272.9706687927246
07Jan2007,72.7,37.18,273.05652618408203
07Jan2007,72.7,37.18,273.1296844482422
07Jan2007,72.7,37.18,273.21576499938965
07Jan2007,72.7,37.18,273.30047607421875
07Jan2007,72.7,37.18,273.3633794784546
07Jan2007,72.7,37.18,273.41790103912354
07Jan2007,72.7,37.18,273.0280647277832
07Jan2007,72.7,37.18,272.9138526916504
07Jan2007,72.7,37.18,272.8386001586914
07Jan2007,72.7,37.18,272.8419380187988
07Jan2007,72.7,37.18,272.7822380065918
07Jan2007,72.7,37.18,272.79383087158203
07Jan2007,72.7,37.18,272.8798141479492
07Jan2007,72.7,37.18,272.92545890808105
07Jan2007,72.7,37.18,272.97648429870605
07Jan2007,72.7,37.18,273.0419464111328
07Jan2007,72.7,37.18,273.1105155944824
07Jan2007,72.7,37.18,273.26265716552734
07Jan2007,72.7,37.18,273.03963470458984
07Jan2007,72.7,37.18,273.13553619384766
08Jan2007,72.7,37.18,273.22704696655273
08Jan2007,72.7,37.18,273.32092666625977
08Jan2007,72.7,37.18,273.4453659057617
08Jan2007,72.7,37.18,273.5603942871094
08Jan2007,72.7,37.18,273.7056312561035
08Jan2007,72.7,37.18,273.82522201538086
08Jan2007,72.7,37.18,273.8595333099365
08Jan2007,72.7,37.18,273.97606658935547
08Jan2007,72.7,37.18,274.11281967163086
08Jan2007,72.7,37.18,274.314489364624
08Jan2007,72.7,37.18,274.2657661437988
08Jan2007,72.7,37.18,274.45158767700195
08Jan2007,72.7,37.18,274.70310401916504
08Jan2007,72.7,37.18,274.760347366333
08Jan2007,72.7,37.18,274.8544158935547
08Jan2007,72.7,37.18,274.8745012283325
08Jan2007,72.7,37.18,274.81502532958984
08Jan2007,72.7,37.18,274.9743175506592
08Jan2007,72.7,37.18,275.1137809753418
08Jan2007,72.7,37.18,275.1893558502197
08Jan2007,72.7,37.18,275.1773452758789
08Jan2007,72.7,37.18,275.24146461486816
08Jan2007,72.7,37.18,275.591609954834
08Jan2007,72.7,37.18,275.73878479003906
09Jan2007,72.7,37.18,275.857515335083
09Jan2007,72.7,37.18,275.9836769104004
09Jan2007,72.7,37.18,276.0602684020996
09Jan2007,72.7,37.18,276.0067901611328
09Jan2007,72.7,37.18,275.92643642425537
09Jan2007,72.7,37.18,275.9642171859741
09Jan2007,72.7,37.18,275.9952564239502
09Jan2007,72.7,37.18,276.0496482849121
09Jan2007,72.7,37.18,276.1036624908447
09Jan2007,72.7,37.18,275.98761892318726
09Jan2007,72.7,37.18,275.6988170146942
09Jan2007,72.7,37.18,275.82927894592285
09Jan2007,72.7,37.18,276.35632705688477
09Jan2007,72.7,37.18,276.5348320007324
09Jan2007,72.7,37.18,276.5265951156616
09Jan2007,72.7,37.18,276.43443489074707
09Jan2007,72.7,37.18,276.3353753089905
09Jan2007,72.7,37.18,276.43224143981934
09Jan2007,72.7,37.18,276.4660530090332
09Jan2007,72.7,37.18,276.3993196487427
09Jan2007,72.7,37.18,276.34638595581055
09Jan2007,72.7,37.18,276.3049602508545
09Jan2007,72.7,37.18,276.45712184906006
09Jan2007,72.7,37.18,276.33536529541016
10Jan2007,72.7,37.18,276.1402576267719
10Jan2007,72.7,37.18,276.20250415802
10Jan2007,72.7,37.18,276.5191059112549
10Jan2007,72.7,37.18,276.6494483947754
10Jan2007,72.7,37.18,276.62535762786865
10Jan2007,72.7,37.18,276.56382751464844
10Jan2007,72.7,37.18,276.45729064941406
10Jan2007,72.7,37.18,276.3816738128662
10Jan2007,72.7,37.18,276.27394008636475
10Jan2007,72.7,37.18,276.04758167266846
10Jan2007,72.7,37.18,275.6799154281616
10Jan2007,72.7,37.18,275.5471200942993
10Jan2007,72.7,37.18,275.5423173904419
10Jan2007,72.7,37.18,275.5880661010742
10Jan2007,72.7,37.18,275.7045211791992
10Jan2007,72.7,37.18,275.6877918243408
10Jan2007,72.7,37.18,275.4678153991699
10Jan2007,72.7,37.18,275.43107557296753
10Jan2007,72.7,37.18,275.2531681060791
10Jan2007,72.7,37.18,274.8706703186035
10Jan2007,72.7,37.18,274.76677894592285
10Jan2007,72.7,37.18,274.9121160507202
10Jan2007,72.7,37.18,274.76000022888184
10Jan2007,72.7,37.18,274.81741523742676
11Jan2007,72.7,37.18,274.85796546936035
11Jan2007,72.7,37.18,274.93976402282715
11Jan2007,72.7,37.18,275.01679039001465
11Jan2007,72.7,37.18,275.0566806793213
11Jan2007,72.7,37.18,274.9988842010498
11Jan2007,72.7,37.18,274.9379425048828
11Jan2007,72.7,37.18,274.9252243041992
11Jan2007,72.7,37.18,275.01132583618164
11Jan2007,72.7,37.18,275.0922918319702
11Jan2007,72.7,37.18,275.02147674560547
11Jan2007,72.7,37.18,274.6351547241211
11Jan2007,72.7,37.18,274.56951904296875
11Jan2007,72.7,37.18,274.41038608551025
11Jan2007,72.7,37.18,274.10410207509995
11Jan2007,72.7,37.18,274.01195335388184
11Jan2007,72.7,37.18,273.99914503097534
11Jan2007,72.7,37.18,274.00496339797974
11Jan2007,72.7,37.18,273.94862937927246
11Jan2007,72.7,37.18,273.9496326446533
11Jan2007,72.7,37.18,273.91600370407104
11Jan2007,72.7,37.18,273.91477632522583
11Jan2007,72.7,37.18,273.8494281768799
11Jan2007,72.7,37.18,273.5856776237488
11Jan2007,72.7,37.18,273.4000638127327
12Jan2007,72.7,37.18,273.3854856491089
12Jan2007,72.7,37.18,273.2760729789734
12Jan2007,72.7,37.18,273.12530994415283
12Jan2007,72.7,37.18,273.0331414937973
12Jan2007,72.7,37.18,273.0162484049797
12Jan2007,72.7,37.18,273.01999855041504
12Jan2007,72.7,37.18,272.9928684234619
12Jan2007,72.7,37.18,273.00007724761963
12Jan2007,72.7,37.18,273.00772190093994
12Jan2007,72.7,37.18,272.992018699646
12Jan2007,72.7,37.18,273.2215619087219
12Jan2007,72.7,37.18,273.2673931121826
12Jan2007,72.7,37.18,273.32271671295166
12Jan2007,72.7,37.18,273.44687926769257
12Jan2007,72.7,37.18,273.6109766960144
12Jan2007,72.7,37.18,273.6768271923065
12Jan2007,72.7,37.18,273.52978229522705
12Jan2007,72.7,37.18,273.55418944358826
12Jan2007,72.7,37.18,273.4655227661133
12Jan2007,72.7,37.18,273.42164421081543
12Jan2007,72.7,37.18,273.36009669303894
12Jan2007,72.7,37.18,273.47983264923096
12Jan2007,72.7,37.18,273.87987422943115
12Jan2007,72.7,37.18,273.91663360595703
13Jan2007,72.7,37.18,274.02815532684326
13Jan2007,72.7,37.18,274.0965807437897
13Jan2007,72.7,37.18,274.0729019641876
13Jan2007,72.7,37.18,274.06846594810486
13Jan2007,72.7,37.18,274.0241665840149
13Jan2007,72.7,37.18,273.98559951782227
13Jan2007,72.7,37.18,273.9663143157959
13Jan2007,72.7,37.18,273.93745136260986
13Jan2007,72.7,37.18,273.89178133010864
13Jan2007,72.7,37.18,273.90084648132324
13Jan2007,72.7,37.18,273.8177099227905
13Jan2007,72.7,37.18,273.7762460708618
13Jan2007,72.7,37.18,273.71914196014404
13Jan2007,72.7,37.18,273.64242935180664
13Jan2007,72.7,37.18,273.5970993041992
13Jan2007,72.7,37.18,273.57848834991455
